,Locality,Lat,Lng,No_of_Restaurant,Cusines,Agg_Rating,Comments,No_of_Votes,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
4,"Aggarwal City Mall, Pitampura",28.690019593333332,77.13465013,3,"North Indian, Chinese, Street Food, Mithai, North Indian, Chinese",3.0333333333333337,Average,126,4,Pizza Place,Department Store,Bed & Breakfast,Chinese Restaurant,Food & Drink Shop,Gastropub,Garden Center,Garden,Gaming Cafe,Furniture / Home Store
5,"Aggarwal City Plaza, Rohini",28.700515740000004,77.11756804000001,5,"Street Food, South Indian, Mithai, North Indian, Chinese, Italian, Pizza, Fast Food, Bakery, Fast Food, North Indian, Fast Food",3.04,"Average, Good, Poor",594,4,Pizza Place,Multiplex,Electronics Store,Gym / Fitness Center,Fast Food Restaurant,Sandwich Place,Food & Drink Shop,Garden,Gaming Cafe,Furniture / Home Store
11,"Ansal Plaza Mall, Khel Gaon Marg",28.56257998375,77.22443661874999,8,"Fast Food, Burger, Italian, Pizza, Fast Food, Continental, Asian, North Indian, Japanese, Korean, Continental, Malaysian, Indonesian, Japanese, Asian, Continental, North Indian, Mughlai, Italian",3.75,"Average, Good, Very Good",875,4,Market,Karaoke Bar,Fast Food Restaurant,Malay Restaurant,Food,Gastropub,Garden Center,Garden,Gaming Cafe,Furniture / Home Store
14,Ashok Vihar Phase 2,28.693969407142855,77.17824539285714,14,"Street Food, Chinese, North Indian, Mithai, Italian, Pizza, Fast Food, South Indian, North Indian, Chinese, North Indian, Chinese, North Indian, Chinese, North Indian, Chinese, Fast Food, Chinese, Italian, North Indian, Mithai, Street Food, North Indian, Chinese, North Indian, Mughlai, Chinese, Continental, North Indian, Street Food, North Indian, Mughlai, Chinese, Italian, North Indian, Chinese",3.3785714285714286,"Average, Good",2343,4,Pizza Place,Indian Restaurant,South Indian Restaurant,Sandwich Place,Coffee Shop,Asian Restaurant,Food,Garden,Gaming Cafe,Furniture / Home Store
15,Ashok Vihar Phase 3,28.691136080909097,77.17748389272728,11,"North Indian, North Indian, Mughlai, Bakery, Pizza, Fast Food, Pizza, Fast Food, Chinese, North Indian, Mughlai, Bakery, Mughlai, North Indian, North Indian, South Indian, Street Food, North Indian, Mughlai, Fast Food, Italian, Chinese",3.3909090909090907,"Average, Good, Very Good",485,4,Gym / Fitness Center,Pizza Place,Garden,South Indian Restaurant,Gastropub,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop,Fried Chicken Joint,French Restaurant
18,"Bellagio, Ashok Vihar Phase 2",28.696302066666664,77.17996503333335,3,"Italian, Continental, Chinese, North Indian, Mughlai",3.3000000000000003,"Average, Good",415,4,Pizza Place,Indian Restaurant,South Indian Restaurant,Sandwich Place,Coffee Shop,Asian Restaurant,Food,Garden,Gaming Cafe,Furniture / Home Store
22,Chander Nagar,28.654104528571427,77.28086602857142,7,"North Indian, North Indian, Pizza, Fast Food, Bakery, South Indian, Chinese, Fast Food, North Indian, South Indian, Chinese, North Indian",3.085714285714286,Average,80,4,Pizza Place,Gym,Fast Food Restaurant,Food,Garden Center,Garden,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop,Fried Chicken Joint
24,Chawri Bazar,28.64965819166667,77.22843326666667,12,"Desserts, Street Food, Ice Cream, Street Food, Ice Cream, North Indian, Street Food, Mithai, Mithai, North Indian, Street Food, Beverages, Fast Food, Street Food, Fast Food, Beverages, Mithai, Street Food",3.8000000000000007,"Average, Excellent, Good, Very Good",1410,4,Snack Place,Indian Restaurant,Paper / Office Supplies Store,Light Rail Station,Hardware Store,Fast Food Restaurant,Food & Drink Shop,Garden Center,Garden,Gaming Cafe
36,"D Mall, Netaji Subhash Place",28.692546420000003,77.15257562000001,5,"North Indian, Chinese, Continental, Fast Food, Burger, North Indian, Chinese, Finger Food, North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts, North Indian",3.4799999999999995,"Average, Good",948,4,Fast Food Restaurant,Indian Restaurant,Coffee Shop,Shopping Mall,Multiplex,Asian Restaurant,Arts & Crafts Store,Sandwich Place,Snack Place,Diner
50,East Patel Nagar,28.645084153250004,77.173360176,40,"Bakery, North Indian, Chinese, South Indian, Cafe, Ice Cream, Fast Food, North Indian, North Indian, Mughlai, Chinese, Seafood, Fast Food, Cafe, Fast Food, Cafe, Chinese, North Indian, Mughlai, Chinese, Desserts, Bakery, Desserts, Raw Meats, Fast Food, Cafe, North Indian, Mughlai, Continental, Raw Meats, North Indian, Fast Food, North Indian, North Indian, Mughlai, Chinese, Beverages, Raw Meats, Fast Food, North Indian, Chinese, Cafe, Fast Food, North Indian, North Indian, Chinese, Mughlai, Continental, Chinese, North Indian, Healthy Food, Fast Food, North Indian, Chinese, Fast Food, Pizza, Fast Food, Burger, Desserts, Fast Food, South Indian, North Indian, Chinese, Seafood, Continental, Healthy Food, Chinese, Fast Food, Chinese, Thai, Seafood, North Indian, Fast Food, Mughlai, Healthy Food, Fast Food, Fast Food, Burger, Bakery, Fast Food",3.2350000000000003,"Average, Good, Poor, Very Good",2578,4,Pizza Place,Metro Station,Hotel,Bar,Bed & Breakfast,Chinese Restaurant,Convenience Store,Liquor Store,Coffee Shop,Fast Food Restaurant
